Exported Users from Center Terrain Group/The Cause
ID | Username | Server Nickname
--------------------------------
1402714019038494822 | capo.troller_4#0 | None
1404851168475086888 | 1hated1scord_#0 | None
1402781458187288628 | mister_wangy#0 | None
1377925967762292756 | didya69#0 | None
1372297422298157206 | exilehwan#0 | None
1380864648869314681 | kalashnikovor#0 | None
1375128585135722546 | yesko34#0 | None
1376518001251061912 | .theson.2#0 | {ctg/ccp thugborea}§§ pepro
1384679959263445056 | fammilia#0 | None
1394272806384173116 | suspendedagainlmao#0 | None
1385284044497092611 | 1._._.1.1._._.1#0 | None
1393032246042300528 | barzakh.unknown#0 | None
979929222380404736 | weirdcore_809#0 | None
1395466630179455038 | busy_gull_13009#0 | None
1301234654292213861 | espec099#0 | None
1138175760612478987 | 0m7k#0 | None
1392425849143164960 | mysterious_dragon_59053#0 | None
1351669290259972277 | 4ix4#0 | None
987768847576727572 | illegalzz.#0 | None
1392311179812278304 | war08877#0 | None
1392846616628695061 | barzakh.ali#0 | [IHT] Ali
1386066761576747021 | 5th_account_already#0 | [IHT] tgb leader
1371867385161715814 | crazygemercat#0 | [IHT] THUG LIFE
1388143762793959464 | darksh4rd#0 | [IHT](ALLAHS WARRIOR)
1389541683711971398 | themerchant333#0 | [IHT]Child soldiers of allah
1342704827074871316 | vlvicscis#0 | None
1392267519963959547 | jedijdeisjhxbd#0 | None
1392867009854832801 | fuckyoutooloser#0 | None
1391771041147388108 | transcussy#0 | None
454291889844256799 | moewcat56#0 | None
1403536936626552884 | wewillmissyougrimz#0 | None
1296219388957036626 | chainout.#0 | None
1397189338617610321 | wratharch#0 | None
1395995078174179358 | adudeinadudeworld#0 | None
1387852990144315473 | aliabdulla0842#0 | None
1402852434182799460 | iloveserina#0 | None
1389360478874243102 | scariheccer666#0 | Andrew's cumslut
1393533813212319815 | 148andrew_03038#0 | None
1403006645642068119 | raev3n.#0 | None
1392696207280963636 | debator12.#0 | None
1398548924704493590 | zgratefuldead_#0 | None
1379885613590904912 | jaderpr0#0 | None
1389594568588005418 | quit.user.#0 | Better call Wagner +3914705345
1371117517426135080 | boah.origins#0 | None
1370498595119304707 | ultraboom.666#0 | None
1297538082308096145 | brendon08876#0 | None
1390813805231214642 | brendon07160#0 | None
1392967239761920143 | brendon04480#0 | None
1395317048925622345 | brendon08404#0 | None
1404840886415921202 | brendon00256#0 | None
1406334576845918370 | brendon04988#0 | None
1376927490148405310 | ggggegmek334#0 | None
1400188257618104392 | brendon02116#0 | None
1394607854551437362 | brendon07745#0 | None
1393679970819248138 | .kingnite#0 | CenterSec
1393486882540617789 | vanished.__#0 | Child Rap1st
1393136215527653396 | ilovebeinghappy_#0 | Child Rapist
1390534948313759764 | constantine_16385#0 | None
1393422013686874264 | skibdididodopsu#0 | None
1384489152879263744 | ctg0424_91910#0 | None
1390202598912557107 | defuzite.#0 | None
1390992645592977460 | czx0049#0 | None
1387158242538291321 | darrel_twizzle#0 | None
1272836984984965243 | ddgf0582#0 | None
1389118177413173248 | debator.fbi_alt_alt#0 | None
1353761774003818558 | terlax_300#0 | None
1404520559232159846 | deltz0353#0 | None
1371530996532510780 | goreunit#0 | dicolamia2006@gmail.com -> CP
1390048444738961509 | dont_worry_you_igga#0 | None
1208119385844351007 | the_blooded_dragonfly#0 | None
1239346866781421608 | prusak15135#0 | None
1391853307001307176 | elisabethnice123#0 | None
1130032535364182056 | emily_jacksonberg#0 | None
1398774226034364518 | imn0tr3la22323#0 | None
1161302198853050449 | astr0_m4tt3r.mp3#0 | None
1254258431813091358 | geoffreybiggie#0 | None
1386141717287403660 | ghostlygang#0 | None
815234079381127168 | duckself_xd1827#0 | None
1361792055378182376 | goofy05313#0 | None
1403963276743802893 | wemissedyougrimz#0 | None
1405412634672762931 | gr_.z#0 | None
1402712628664602744 | kedgrimz#0 | None
1396682051964502109 | missedgrimz#0 | None
1398507010378432684 | wemissgrimz#0 | None
1401252830521720842 | grimz.com#0 | None
1195758040608157837 | h_ista1#0 | None
1388260161134792794 | _nemarito_#0 | None
1367498382557450241 | memo_letuvian#0 | None
1257340079563870208 | the_noob_himself#0 | None
1394459121188732988 | hh_h0#0 | None
1393739906802651271 | zi_.lz6#0 | None
1394615199943622847 | 0x14h#0 | Hebrew
1397625197775028244 | 0x17d#0 | Hebrew
1401946838004666408 | ywemxtu7ilj6krsagb45h0p82dvz1ncq#0 | Hebrew
1398951156545491073 | ashtoashanddusttodust#0 | None
1392434696721399870 | themerchant666#0 | None
1400543028455931988 | helel.777#0 | None
1395461445772116142 | d90zo1okspfpob33ov3uwokp5d3eegjr#0 | Henegrew
1387266849133297764 | 3383.apk#0 | None
1385528355142504500 | iamatlanta#0 | None
1391336295925809224 | 0x148andrew#0 | icon's dom
1321166601621475414 | actualmrp#0 | None
1393452745306017863 | capoinsurgencymemberkury#0 | None
1377273325197463663 | zc0533#0 | None
1392752075397533746 | weloveked#0 | None
1387000016496754708 | jackiechan006513#0 | None
1327869787430457436 | jackalwaysreturns#0 | None
1400005479488295025 | jondih_#0 | None
1404770010496372836 | jondih_baliel#0 | None
1381966089923067935 | syk_orb#0 | None
1396698175485513820 | decpration#0 | None
767168357836390432 | klqveehh#0 | None
1355851445324218501 | lnenajsa#0 | Kood
1363505263855800575 | idf4#0 | None
1396472933429543063 | policaj01847#0 | None
1388948844007526625 | lambdaisticpeacefulprovinces#0 | None
1398602428609462282 | jondih.#0 | None
1400404606370189374 | 258grimz#0 | None
1403739270610419722 | zenin_israelll#0 | None
1404926485512323082 | brendon6262626262#0 | None
1400847078464422061 | officerlimeissigma#0 | None
1396679716781428867 | maur0._#0 | None
1397263309111300142 | o9a_.#0 | None
891922921067520000 | li1i1lili1liil1il1liilil1i1l111i#0 | None
1336057009836920924 | mimikyummy#0 | None
1402430507441979483 | mistercookenberg#0 | None
1395003027865342003 | wagner_pmcwg#0 | None
1331684701588426817 | schidel#0 | None
1402334477136429126 | theonlygrimz#0 | None
1393602305680478290 | 0x148andrewkrown#0 | Moved to 152h
1392496977652219996 | deepzeta#0 | None
1395463111179374713 | decp_.#0 | None
1238855806519214132 | crossixirr.#0 | None
1394609118890688663 | cockflyingwizard666#0 | None
1407087522038808669 | pookie566#0 | None
1395523356123467870 | n0thing_17#0 | None
1391304581471801384 | 1488istheword#0 | None
1396865623979720765 | returnofnaru#0 | None
1402975062751055882 | 38suspensions#0 | None
1390508304572219565 | nigg4_tempacc#0 | None
1385598224873816247 | wanger_rtan#0 | nigga rage
768320634597146625 | toxico6146#0 | None
1364588873425883216 | noob_bacon0535#0 | None
